Iteration,DeepLab v3+,FCN16s,GoogLeNet
0,0.010938503,0.102844857,0.008750803
1,0.010096261,0.123250544,0.008077009
2,0.011596874,0.104011585,0.0092775
3,0.014377119,0.103914102,0.011501696
4,0.009416109,0.108056402,0.007532887
5,0.016099721,0.11405114,0.012879777
6,0.017756351,0.111329268,0.014205081
7,0.017078539,0.11061613,0.013662831
8,0.021651302,0.11125255,0.017321041
9,0.019921099,0.11992076,0.01593688
10,0.021468364,0.160497053,0.017174691
11,0.022814559,0.098370913,0.018251647
12,0.02387346,0.127995233,0.019098768
13,0.028200831,0.116899578,0.022560664
14,0.034135494,0.152989375,0.027308395
15,0.035706733,0.125542797,0.028565386
16,0.037345004,0.093085872,0.029876003
17,0.042944298,0.088480851,0.034355439
18,0.04760216,0.103680455,0.038081728
19,0.053356773,0.127649778,0.042685418
20,0.059460955,0.10100253,0.047568764
21,0.066969802,0.123682462,0.053575841
22,0.072950432,0.100267522,0.058360345
23,0.08113958,0.115741726,0.064911664
24,0.089420299,0.108841848,0.071536239
25,0.096487716,0.10792052,0.077190173
26,0.102551175,0.113331253,0.08204094
27,0.108932459,0.083945792,0.087145967
28,0.116740641,0.116237187,0.093392513
29,0.130585617,0.1396445,0.104468493
30,0.1392856,0.126599884,0.11142848
31,0.148836855,0.08314661,0.119069484
32,0.152569802,0.111814409,0.122055842
33,0.16401931,0.103501392,0.131215448
34,0.174728488,0.103613714,0.13978279
35,0.183348241,0.103087448,0.146678593
36,0.18713793,0.133291342,0.149710344
37,0.196369047,0.104470951,0.157095238
38,0.203829967,0.105702127,0.163063974
39,0.208432906,0.109404912,0.166746324
40,0.219250155,0.074267487,0.175400124
41,0.230172733,0.142567746,0.184138186
42,0.235635408,0.117214992,0.188508326
43,0.24053545,0.134159718,0.19242836
44,0.242144717,0.1573574,0.193715773
45,0.251030331,0.131535409,0.200824265
46,0.254128538,0.11491771,0.20330283
47,0.255791746,0.121178138,0.204633397
48,0.260532365,0.098610253,0.208425892
49,0.261026123,0.116136238,0.208820899
50,0.270155939,0.111193719,0.216124752
51,0.271390832,0.134218181,0.217112665
52,0.272551905,0.097755272,0.218041524
53,0.273994119,0.084911734,0.219195295
54,0.276780498,0.117001761,0.221424398
55,0.274342275,0.094678814,0.21947382
56,0.277772681,0.122079437,0.222218145
57,0.277619544,0.127771073,0.222095635
58,0.279395131,0.117938482,0.223516105
59,0.285123435,0.081513305,0.228098748
60,0.282364687,0.105482153,0.22589175
61,0.285613947,0.124622847,0.228491157
62,0.282336389,0.144183042,0.225869111
63,0.282622861,0.099457563,0.226098289
64,0.283513788,0.142170128,0.226811031
